epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,78.7327,0.80505,0.89464,1.08607,0.91569,0.37262,0.45447,0.31999,1.6522,2.33766,1.47725,2.82082e-05,2.82082e-05,2.82082e-05
40,80.4137,0.64026,0.76656,1.06022,0.91569,0.37262,0.45447,0.31999,1.6522,2.33766,1.47725,2.84911e-05,2.84911e-05,2.84911e-05
41,82.4783,0.65846,0.88934,1.0103,0.91892,0.37243,0.45332,0.33664,1.65968,2.35885,1.47831,2.87504e-05,2.87504e-05,2.87504e-05
42,84.3571,0.52389,1.59409,1.03098,0.91892,0.37243,0.45332,0.33664,1.65968,2.35885,1.47831,2.89861e-05,2.89861e-05,2.89861e-05
43,86.4716,1.06898,1.37221,1.335,0.94001,0.38769,0.45894,0.33994,1.67552,2.38206,1.48778,2.91983e-05,2.91983e-05,2.91983e-05
44,88.3964,0.91025,0.92121,1.32603,0.94001,0.38769,0.45894,0.33994,1.67552,2.38206,1.48778,2.93869e-05,2.93869e-05,2.93869e-05
45,90.466,0.6169,0.75093,1.01112,0.94086,0.3879,0.45107,0.33264,1.68995,2.38492,1.49066,2.9552e-05,2.9552e-05,2.9552e-05
46,92.2502,0.72481,0.99079,1.15381,0.94086,0.3879,0.45107,0.33264,1.68995,2.38492,1.49066,2.96935e-05,2.96935e-05,2.96935e-05
47,94.1402,0.80099,1.71732,1.24075,0.94113,0.39037,0.44981,0.32584,1.68832,2.33241,1.47853,2.98114e-05,2.98114e-05,2.98114e-05
48,95.9605,0.89824,1.44163,1.2451,0.94113,0.39037,0.44981,0.32584,1.68832,2.33241,1.47853,2.99058e-05,2.99058e-05,2.99058e-05
49,97.9816,0.74213,0.87806,1.24854,0.94072,0.3914,0.45192,0.32574,1.68849,2.30794,1.47678,2.99766e-05,2.99766e-05,2.99766e-05
50,99.8164,0.72849,1.06357,1.25418,0.94072,0.3914,0.45192,0.32574,1.68849,2.30794,1.47678,3.00238e-05,3.00238e-05,3.00238e-05
51,102.045,0.80375,0.85722,1.14678,0.94163,0.3906,0.45029,0.32859,1.68109,2.31193,1.47074,3.00475e-05,3.00475e-05,3.00475e-05
