0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
644,291,653,283,635,284,665,291,622,292,677,337,609,336,703,364,581,358,668,358,613,361,668,441,620,442,702,453,586,454,698,542,591,542
644,289,653,282,635,282,665,289,622,290,677,335,609,334,703,362,582,357,669,357,614,359,669,438,620,439,701,452,587,454,699,541,591,541
644,289,653,282,635,282,665,289,622,290,678,336,608,336,703,361,583,357,671,356,615,358,670,440,620,441,701,452,588,453,698,541,591,542
645,287,653,279,635,280,665,287,622,288,678,334,608,333,701,359,584,353,668,353,614,355,670,438,620,439,699,453,589,454,698,541,592,542
644,283,653,276,635,276,665,284,622,284,678,330,607,329,703,354,584,351,671,348,614,350,670,435,620,436,699,455,591,455,698,541,592,542
644,279,653,272,635,272,664,280,622,281,677,325,608,325,702,349,583,346,669,343,615,345,670,430,620,431,699,457,592,457,698,542,592,541
644,275,653,268,635,268,664,276,622,277,677,320,608,319,702,346,582,341,669,337,615,338,669,425,620,426,699,460,594,459,698,542,592,541
644,275,653,268,635,268,664,276,622,277,677,320,608,320,702,345,582,341,669,337,615,338,669,425,620,426,699,460,594,459,698,542,592,541
644,270,653,262,635,263,664,270,621,271,676,315,609,315,703,340,584,335,669,329,616,331,668,421,620,422,697,460,594,460,698,542,591,542
644,264,653,256,635,257,664,264,622,265,678,312,608,312,704,334,584,332,671,324,617,326,670,418,620,419,695,460,594,462,700,542,591,543
643,143,652,135,634,135,664,147,620,147,677,199,604,199,702,223,586,217,668,218,620,216,668,333,616,333,686,440,597,441,696,543,590,546
645,257,653,250,635,251,665,259,621,259,677,306,606,305,705,328,587,324,673,317,619,317,669,412,618,412,694,463,593,463,700,543,590,544
645,251,653,243,636,243,665,251,622,252,677,298,606,297,706,319,587,315,674,311,620,311,669,405,618,406,693,463,594,463,700,542,589,544
645,250,653,243,636,243,665,251,622,252,677,298,606,297,706,319,586,315,674,311,620,310,669,405,618,406,693,464,594,463,700,542,590,544
644,243,653,236,635,236,665,244,621,245,678,291,605,291,705,312,588,308,673,301,621,301,668,400,616,401,693,464,595,462,700,542,589,544
645,236,653,228,635,228,665,237,621,237,677,284,607,284,705,304,585,300,674,294,622,294,667,395,617,395,692,461,595,461,699,542,590,544
645,229,653,221,635,221,665,230,620,231,677,279,605,278,706,299,587,294,674,285,623,285,667,390,616,391,692,462,595,461,699,542,590,544
645,221,654,213,636,213,665,223,621,223,677,271,604,270,706,290,587,283,676,278,622,276,668,385,615,386,692,458,595,459,699,542,590,545
645,221,654,213,636,213,665,223,621,223,677,271,604,270,706,290,587,283,676,278,622,277,668,386,615,386,692,458,595,459,699,542,590,544
645,213,653,205,635,206,665,215,621,215,677,264,604,263,706,281,587,275,674,268,623,267,667,382,615,383,691,456,596,458,699,541,590,544
645,206,653,198,635,198,664,208,621,209,679,258,606,258,705,275,583,270,676,262,623,260,669,376,617,377,693,454,600,456,700,541,592,543
643,143,652,135,634,135,664,147,620,147,676,200,604,199,703,223,585,217,668,218,620,216,668,333,616,334,686,440,597,442,697,543,590,546
645,198,653,190,635,191,664,200,621,200,678,250,604,250,705,269,585,265,675,252,623,252,669,370,617,371,693,453,599,455,701,542,592,544
645,190,653,183,635,183,664,192,621,192,679,242,603,242,704,259,584,256,676,246,620,243,670,364,616,366,693,452,598,455,701,544,590,547
645,190,653,182,635,183,664,192,620,192,678,243,602,242,705,260,587,256,676,246,621,243,669,364,614,365,690,453,595,454,700,542,590,546
645,182,653,175,635,175,665,184,620,185,678,236,602,235,705,251,587,245,674,237,624,234,668,360,614,361,690,452,595,454,700,542,589,546
644,175,653,167,634,167,664,177,620,178,679,230,604,229,704,245,583,239,674,232,625,230,670,356,617,357,692,450,598,453,700,544,591,546
644,170,653,162,635,161,664,171,620,171,679,223,604,222,703,241,582,237,673,225,621,227,670,350,617,352,692,446,598,449,700,543,591,545
644,164,653,156,635,156,664,166,620,165,679,217,602,216,704,233,581,230,673,218,623,217,670,347,616,349,691,445,599,448,699,542,591,545
644,164,653,156,635,156,664,166,620,165,679,217,603,216,704,234,580,231,672,217,623,217,670,347,617,348,691,445,599,448,699,542,591,546
